apple_support.0.7.0.tar.gz|apple_support|0.7.0|src|any|tar.gz|standalone|True|{}
bazel-0.23.2-installer-darwin-x86_64.sh|bazel|0.23.2|x86_64|macos|sh|installer|True|{}
bazel-0.23.2-installer-linux-x86_64.sh|bazel|0.23.2|x86_64|linux|sh|installer|True|{}
bazel-0.23.2-linux-x86_64|bazel|0.23.2|x86_64|linux||standalone|True|{}
bazel_0.23.2-linux-x86_64.deb|bazel|0.23.2|x86_64|linux|deb|standalone|True|{}
bazel-0.23.2-windows-x86_64.exe|bazel|0.23.2|x86_64|windows|exe|standalone|True|{}
bazel-0.23.2-windows-x86_64.zip|bazel|0.23.2|x86_64|windows|zip|standalone|True|{}
bazel-0.2.3-installer-darwin-x86_64.sh|bazel|0.2.3|x86_64|macos|sh|installer|True|{}
bazel-0.2.3-installer-linux-x86_64.sh|bazel|0.2.3|x86_64|linux|sh|installer|True|{}
bazel-0.2.3-jdk7-installer-darwin-x86_64.sh|bazel|0.2.3|x86_64|macos|sh|installer|True|{jdk7}
bazel-0.2.3-jdk7-installer-linux-x86_64.sh|bazel|0.2.3|x86_64|linux|sh|installer|True|{jdk7}
bazel_0.2.3-jdk7-linux-x86_64.deb|bazel|0.2.3|x86_64|linux|deb|standalone|True|{jdk7}
bazel_0.2.3-linux-x86_64.deb|bazel|0.2.3|x86_64|linux|deb|standalone|True|{}
bazel-0.24.0-darwin-x86_64|bazel|0.24.0|x86_64|macos||standalone|True|{}
bazel-0.24.0-dist.zip|bazel|0.24.0||any|zip|standalone|True|{}
bazel-0.24.0-installer-darwin-x86_64.sh|bazel|0.24.0|x86_64|macos|sh|installer|True|{}
bazel-0.24.0-installer-linux-x86_64.sh|bazel|0.24.0|x86_64|linux|sh|installer|True|{}
bazel-0.24.0-linux-x86_64|bazel|0.24.0|x86_64|linux||standalone|True|{}
bazel_0.24.0-linux-x86_64.deb|bazel|0.24.0|x86_64|linux|deb|standalone|True|{}
bazel-0.24.0-windows-x86_64.exe|bazel|0.24.0|x86_64|windows|exe|standalone|True|{}
bazel-0.24.0-windows-x86_64.zip|bazel|0.24.0|x86_64|windows|zip|standalone|True|{}
bazel-0.24.1-darwin-x86_64|bazel|0.24.1|x86_64|macos||standalone|True|{}
bazel-0.24.1-dist.zip|bazel|0.24.1||any|zip|standalone|True|{}
bazel-0.24.1-installer-darwin-x86_64.sh|bazel|0.24.1|x86_64|macos|sh|installer|True|{}
bazel-0.24.1-installer-linux-x86_64.sh|bazel|0.24.1|x86_64|linux|sh|installer|True|{}
bazel-0.24.1-linux-x86_64|bazel|0.24.1|x86_64|linux||standalone|True|{}
bazel_0.24.1-linux-x86_64.deb|bazel|0.24.1|x86_64|linux|deb|standalone|True|{}
bazel-0.24.1-windows-x86_64.exe|bazel|0.24.1|x86_64|windows|exe|standalone|True|{}
bazel-0.24.1-windows-x86_64.zip|bazel|0.24.1|x86_64|windows|zip|standalone|True|{}
bazel-0.25.0-darwin-x86_64|bazel|0.25.0|x86_64|macos||standalone|True|{}
bazel-0.25.0-dist.zip|bazel|0.25.0||any|zip|standalone|True|{}
bazel-0.25.0-installer-darwin-x86_64.sh|bazel|0.25.0|x86_64|macos|sh|installer|True|{}
bazel-0.25.0-installer-linux-x86_64.sh|bazel|0.25.0|x86_64|linux|sh|installer|True|{}
bazel-0.25.0-linux-x86_64|bazel|0.25.0|x86_64|linux||standalone|True|{}
bazel_0.25.0-linux-x86_64.deb|bazel|0.25.0|x86_64|linux|deb|standalone|True|{}
bazel-0.25.0-windows-x86_64.exe|bazel|0.25.0|x86_64|windows|exe|standalone|True|{}
bazel-0.25.0-windows-x86_64.zip|bazel|0.25.0|x86_64|windows|zip|standalone|True|{}
bazel-0.25.1-darwin-x86_64|bazel|0.25.1|x86_64|macos||standalone|True|{}
bazel-0.25.1-dist.zip|bazel|0.25.1||any|zip|standalone|True|{}
bazel-0.25.1-installer-darwin-x86_64.sh|bazel|0.25.1|x86_64|macos|sh|installer|True|{}
bazel-0.25.1-installer-linux-x86_64.sh|bazel|0.25.1|x86_64|linux|sh|installer|True|{}
bazel-0.25.1-linux-x86_64|bazel|0.25.1|x86_64|linux||standalone|True|{}
bazel_0.25.1-linux-x86_64.deb|bazel|0.25.1|x86_64|linux|deb|standalone|True|{}
bazel-0.25.1-windows-x86_64.exe|bazel|0.25.1|x86_64|windows|exe|standalone|True|{}
bazel-0.25.1-windows-x86_64.zip|bazel|0.25.1|x86_64|windows|zip|standalone|True|{}
bazel-0.25.2-darwin-x86_64|bazel|0.25.2|x86_64|macos||standalone|True|{}
bazel-0.25.2-dist.zip|bazel|0.25.2||any|zip|standalone|True|{}
bazel-0.25.2-installer-darwin-x86_64.sh|bazel|0.25.2|x86_64|macos|sh|installer|True|{}
bazel-0.25.2-installer-linux-x86_64.sh|bazel|0.25.2|x86_64|linux|sh|installer|True|{}
bazel-0.25.2-linux-x86_64|bazel|0.25.2|x86_64|linux||standalone|True|{}
bazel_0.25.2-linux-x86_64.deb|bazel|0.25.2|x86_64|linux|deb|standalone|True|{}
bazel-0.25.2-windows-x86_64.exe|bazel|0.25.2|x86_64|windows|exe|standalone|True|{}
bazel-0.25.2-windows-x86_64.zip|bazel|0.25.2|x86_64|windows|zip|standalone|True|{}
bazel-0.25.3-darwin-x86_64|bazel|0.25.3|x86_64|macos||standalone|True|{}
bazel-0.25.3-dist.zip|bazel|0.25.3||any|zip|standalone|True|{}
bazel-0.25.3-installer-darwin-x86_64.sh|bazel|0.25.3|x86_64|macos|sh|installer|True|{}
bazel-0.25.3-installer-linux-x86_64.sh|bazel|0.25.3|x86_64|linux|sh|installer|True|{}
bazel-0.25.3-linux-x86_64|bazel|0.25.3|x86_64|linux||standalone|True|{}
bazel_0.25.3-linux-x86_64.deb|bazel|0.25.3|x86_64|linux|deb|standalone|True|{}
bazel-0.25.3-windows-x86_64.exe|bazel|0.25.3|x86_64|windows|exe|standalone|True|{}
bazel-0.25.3-windows-x86_64.zip|bazel|0.25.3|x86_64|windows|zip|standalone|True|{}
bazel-0.26.0-darwin-x86_64|bazel|0.26.0|x86_64|macos||standalone|True|{}
bazel-0.26.0-dist.zip|bazel|0.26.0||any|zip|standalone|True|{}
bazel-0.26.0-installer-darwin-x86_64.sh|bazel|0.26.0|x86_64|macos|sh|installer|True|{}
bazel-0.26.0-installer-linux-x86_64.sh|bazel|0.26.0|x86_64|linux|sh|installer|True|{}
bazel-0.26.0-linux-x86_64|bazel|0.26.0|x86_64|linux||standalone|True|{}
bazel_0.26.0-linux-x86_64.deb|bazel|0.26.0|x86_64|linux|deb|standalone|True|{}
bazel-0.26.0-windows-x86_64.exe|bazel|0.26.0|x86_64|windows|exe|standalone|True|{}
bazel-0.26.0-windows-x86_64.zip|bazel|0.26.0|x86_64|windows|zip|standalone|True|{}
bazel-0.26.1-darwin-x86_64|bazel|0.26.1|x86_64|macos||standalone|True|{}
bazel-0.26.1-dist.zip|bazel|0.26.1||any|zip|standalone|True|{}
bazel-0.26.1-installer-darwin-x86_64.sh|bazel|0.26.1|x86_64|macos|sh|installer|True|{}
bazel-0.26.1-installer-linux-x86_64.sh|bazel|0.26.1|x86_64|linux|sh|installer|True|{}
bazel-0.26.1-linux-x86_64|bazel|0.26.1|x86_64|linux||standalone|True|{}
bazel_0.26.1-linux-x86_64.deb|bazel|0.26.1|x86_64|linux|deb|standalone|True|{}
bazel-0.26.1-windows-x86_64.exe|bazel|0.26.1|x86_64|windows|exe|standalone|True|{}
bazel-0.26.1-windows-x86_64.zip|bazel|0.26.1|x86_64|windows|zip|standalone|True|{}
bazel-0.27.0-darwin-x86_64|bazel|0.27.0|x86_64|macos||standalone|True|{}
bazel-0.27.0-dist.zip|bazel|0.27.0||any|zip|standalone|True|{}
bazel-0.27.0-installer-darwin-x86_64.sh|bazel|0.27.0|x86_64|macos|sh|installer|True|{}
bazel-0.27.0-installer-linux-x86_64.sh|bazel|0.27.0|x86_64|linux|sh|installer|True|{}
bazel-0.27.0-linux-x86_64|bazel|0.27.0|x86_64|linux||standalone|True|{}
bazel_0.27.0-linux-x86_64.deb|bazel|0.27.0|x86_64|linux|deb|standalone|True|{}
bazel-0.27.0-windows-x86_64.exe|bazel|0.27.0|x86_64|windows|exe|standalone|True|{}
bazel-0.27.0-windows-x86_64.zip|bazel|0.27.0|x86_64|windows|zip|standalone|True|{}
bazel-0.27.1-darwin-x86_64|bazel|0.27.1|x86_64|macos||standalone|True|{}
bazel-0.27.1-dist.zip|bazel|0.27.1||any|zip|standalone|True|{}
bazel-0.27.1-installer-darwin-x86_64.sh|bazel|0.27.1|x86_64|macos|sh|installer|True|{}
bazel-0.27.1-installer-linux-x86_64.sh|bazel|0.27.1|x86_64|linux|sh|installer|True|{}
bazel-0.27.1-linux-x86_64|bazel|0.27.1|x86_64|linux||standalone|True|{}
bazel_0.27.1-linux-x86_64.deb|bazel|0.27.1|x86_64|linux|deb|standalone|True|{}
bazel-0.27.1-windows-x86_64.exe|bazel|0.27.1|x86_64|windows|exe|standalone|True|{}
bazel-0.27.1-windows-x86_64.zip|bazel|0.27.1|x86_64|windows|zip|standalone|True|{}
bazel-0.27.2-darwin-x86_64|bazel|0.27.2|x86_64|macos||standalone|True|{}
bazel-0.27.2-dist.zip|bazel|0.27.2||any|zip|standalone|True|{}
bazel-0.27.2-installer-darwin-x86_64.sh|bazel|0.27.2|x86_64|macos|sh|installer|True|{}
bazel-0.27.2-installer-linux-x86_64.sh|bazel|0.27.2|x86_64|linux|sh|installer|True|{}
bazel-0.27.2-linux-x86_64|bazel|0.27.2|x86_64|linux||standalone|True|{}
bazel_0.27.2-linux-x86_64.deb|bazel|0.27.2|x86_64|linux|deb|standalone|True|{}
bazel-0.27.2-windows-x86_64.exe|bazel|0.27.2|x86_64|windows|exe|standalone|True|{}
bazel-0.27.2-windows-x86_64.zip|bazel|0.27.2|x86_64|windows|zip|standalone|True|{}
bazel-0.28.0-darwin-x86_64|bazel|0.28.0|x86_64|macos||standalone|True|{}
bazel-0.28.0-dist.zip|bazel|0.28.0||any|zip|standalone|True|{}
bazel-0.28.0-installer-darwin-x86_64.sh|bazel|0.28.0|x86_64|macos|sh|installer|True|{}
bazel-0.28.0-installer-linux-x86_64.sh|bazel|0.28.0|x86_64|linux|sh|installer|True|{}
bazel-0.28.0-linux-x86_64|bazel|0.28.0|x86_64|linux||standalone|True|{}
bazel_0.28.0-linux-x86_64.deb|bazel|0.28.0|x86_64|linux|deb|standalone|True|{}
bazel-0.28.0-windows-x86_64.exe|bazel|0.28.0|x86_64|windows|exe|standalone|True|{}
bazel-0.28.0-windows-x86_64.zip|bazel|0.28.0|x86_64|windows|zip|standalone|True|{}
bazel-0.28.1-darwin-x86_64|bazel|0.28.1|x86_64|macos||standalone|True|{}
bazel-0.28.1-dist.zip|bazel|0.28.1||any|zip|standalone|True|{}
bazel-0.28.1-installer-darwin-x86_64.sh|bazel|0.28.1|x86_64|macos|sh|installer|True|{}
bazel-0.28.1-installer-linux-x86_64.sh|bazel|0.28.1|x86_64|linux|sh|installer|True|{}
bazel-0.28.1-linux-x86_64|bazel|0.28.1|x86_64|linux||standalone|True|{}
bazel_0.28.1-linux-x86_64.deb|bazel|0.28.1|x86_64|linux|deb|standalone|True|{}
bazel-0.28.1-windows-x86_64.exe|bazel|0.28.1|x86_64|windows|exe|standalone|True|{}
bazel-0.28.1-windows-x86_64.zip|bazel|0.28.1|x86_64|windows|zip|standalone|True|{}
bazel-0.3.0-installer-darwin-x86_64.sh|bazel|0.3.0|x86_64|macos|sh|installer|True|{}
bazel-0.3.0-installer-linux-x86_64.sh|bazel|0.3.0|x86_64|linux|sh|installer|True|{}
bazel-0.3.0-jdk7-installer-darwin-x86_64.sh|bazel|0.3.0|x86_64|macos|sh|installer|True|{jdk7}
bazel-0.3.0-jdk7-installer-linux-x86_64.sh|bazel|0.3.0|x86_64|linux|sh|installer|True|{jdk7}
bazel_0.3.0-jdk7-linux-x86_64.deb|bazel|0.3.0|x86_64|linux|deb|standalone|True|{jdk7}
bazel_0.3.0-linux-x86_64.deb|bazel|0.3.0|x86_64|linux|deb|standalone|True|{}
bazel-0.3.1-installer-darwin-x86_64.sh|bazel|0.3.1|x86_64|macos|sh|installer|True|{}
bazel-0.3.1-installer-linux-x86_64.sh|bazel|0.3.1|x86_64|linux|sh|installer|True|{}
bazel-0.3.1-jdk7-installer-darwin-x86_64.sh|bazel|0.3.1|x86_64|macos|sh|installer|True|{jdk7}
bazel-0.3.1-jdk7-installer-linux-x86_64.sh|bazel|0.3.1|x86_64|linux|sh|installer|True|{jdk7}
bazel_0.3.1-jdk7-linux-x86_64.deb|bazel|0.3.1|x86_64|linux|deb|standalone|True|{jdk7}
bazel_0.3.1-linux-x86_64.deb|bazel|0.3.1|x86_64|linux|deb|standalone|True|{}
bazel-0.3.2-installer-darwin-x86_64.sh|bazel|0.3.2|x86_64|macos|sh|installer|True|{}
bazel-0.3.2-installer-linux-x86_64.sh|bazel|0.3.2|x86_64|linux|sh|installer|True|{}
bazel-0.3.2-jdk7-installer-darwin-x86_64.sh|bazel|0.3.2|x86_64|macos|sh|installer|True|{jdk7}
bazel-0.3.2-jdk7-installer-linux-x86_64.sh|bazel|0.3.2|x86_64|linux|sh|installer|True|{jdk7}
bazel_0.3.2-jdk7-linux-x86_64.deb|bazel|0.3.2|x86_64|linux|deb|standalone|True|{jdk7}
bazel_0.3.2-linux-x86_64.deb|bazel|0.3.2|x86_64|linux|deb|standalone|True|{}
bazel-0.3.2-windows-x86_64.exe|bazel|0.3.2|x86_64|windows|exe|standalone|True|{}
bazel-0.3.2-windows-x86_64.zip|bazel|0.3.2|x86_64|windows|zip|standalone|True|{}
bazel-0.4.0-installer-darwin-x86_64.sh|bazel|0.4.0|x86_64|macos|sh|installer|True|{}
bazel-0.4.0-installer-linux-x86_64.sh|bazel|0.4.0|x86_64|linux|sh|installer|True|{}
bazel-0.4.0-jdk7-installer-darwin-x86_64.sh|bazel|0.4.0|x86_64|macos|sh|installer|True|{jdk7}
bazel-0.4.0-jdk7-installer-linux-x86_64.sh|bazel|0.4.0|x86_64|linux|sh|installer|True|{jdk7}
bazel_0.4.0-jdk7-linux-x86_64.deb|bazel|0.4.0|x86_64|linux|deb|standalone|True|{jdk7}
bazel_0.4.0-linux-x86_64.deb|bazel|0.4.0|x86_64|linux|deb|standalone|True|{}
bazel-0.4.0-windows-x86_64.exe|bazel|0.4.0|x86_64|windows|exe|standalone|True|{}
bazel-0.4.0-windows-x86_64.zip|bazel|0.4.0|x86_64|windows|zip|standalone|True|{}
bazel-0.4.1-dist.zip|bazel|0.4.1||any|zip|standalone|True|{}
bazel-0.4.1-installer-darwin-x86_64.sh|bazel|0.4.1|x86_64|macos|sh|installer|True|{}
bazel-0.4.1-installer-linux-x86_64.sh|bazel|0.4.1|x86_64|linux|sh|installer|True|{}
bazel-0.4.1-jdk7-installer-darwin-x86_64.sh|bazel|0.4.1|x86_64|macos|sh|installer|True|{jdk7}
bazel-0.4.1-jdk7-installer-linux-x86_64.sh|bazel|0.4.1|x86_64|linux|sh|installer|True|{jdk7}
bazel_0.4.1-jdk7-linux-x86_64.deb|bazel|0.4.1|x86_64|linux|deb|standalone|True|{jdk7}
bazel_0.4.1-linux-x86_64.deb|bazel|0.4.1|x86_64|linux|deb|standalone|True|{}
bazel-0.4.1-windows-x86_64.exe|bazel|0.4.1|x86_64|windows|exe|standalone|True|{}
bazel-0.4.1-windows-x86_64.zip|bazel|0.4.1|x86_64|windows|zip|standalone|True|{}
bazel-0.4.2-dist.zip|bazel|0.4.2||any|zip|standalone|True|{}
bazel-0.4.2-installer-darwin-x86_64.sh|bazel|0.4.2|x86_64|macos|sh|installer|True|{}
bazel-0.4.2-installer-linux-x86_64.sh|bazel|0.4.2|x86_64|linux|sh|installer|True|{}
bazel-0.4.2-jdk7-dist.zip|bazel|0.4.2||any|zip|standalone|True|{jdk7}
bazel-0.4.2-jdk7-installer-darwin-x86_64.sh|bazel|0.4.2|x86_64|macos|sh|installer|True|{jdk7}
bazel-0.4.2-jdk7-installer-linux-x86_64.sh|bazel|0.4.2|x86_64|linux|sh|installer|True|{jdk7}
bazel_0.4.2-jdk7-linux-x86_64.deb|bazel|0.4.2|x86_64|linux|deb|standalone|True|{jdk7}
bazel_0.4.2-linux-x86_64.deb|bazel|0.4.2|x86_64|linux|deb|standalone|True|{}
bazel-0.4.2-windows-x86_64.exe|bazel|0.4.2|x86_64|windows|exe|standalone|True|{}
bazel-0.4.2-windows-x86_64.zip|bazel|0.4.2|x86_64|windows|zip|standalone|True|{}
bazel-0.4.3-dist.zip|bazel|0.4.3||any|zip|standalone|True|{}
bazel-0.4.3-installer-darwin-x86_64.sh|bazel|0.4.3|x86_64|macos|sh|installer|True|{}
bazel-0.4.3-installer-linux-x86_64.sh|bazel|0.4.3|x86_64|linux|sh|installer|True|{}
bazel-0.4.3-jdk7-dist.zip|bazel|0.4.3||any|zip|standalone|True|{jdk7}
bazel-0.4.3-jdk7-installer-darwin-x86_64.sh|bazel|0.4.3|x86_64|macos|sh|installer|True|{jdk7}
bazel-0.4.3-jdk7-installer-linux-x86_64.sh|bazel|0.4.3|x86_64|linux|sh|installer|True|{jdk7}
bazel_0.4.3-jdk7-linux-x86_64.deb|bazel|0.4.3|x86_64|linux|deb|standalone|True|{jdk7}
bazel_0.4.3-linux-x86_64.deb|bazel|0.4.3|x86_64|linux|deb|standalone|True|{}
bazel-0.4.3-windows-x86_64.exe|bazel|0.4.3|x86_64|windows|exe|standalone|True|{}
bazel-0.4.3-windows-x86_64.zip|bazel|0.4.3|x86_64|windows|zip|standalone|True|{}
bazel-0.4.4-dist.zip|bazel|0.4.4||any|zip|standalone|True|{}
bazel-0.4.4-installer-darwin-x86_64.sh|bazel|0.4.4|x86_64|macos|sh|installer|True|{}
bazel-0.4.4-installer-linux-x86_64.sh|bazel|0.4.4|x86_64|linux|sh|installer|True|{}
bazel-0.4.4-jdk7-dist.zip|bazel|0.4.4||any|zip|standalone|True|{jdk7}
bazel-0.4.4-jdk7-installer-darwin-x86_64.sh|bazel|0.4.4|x86_64|macos|sh|installer|True|{jdk7}
bazel-0.4.4-jdk7-installer-linux-x86_64.sh|bazel|0.4.4|x86_64|linux|sh|installer|True|{jdk7}
bazel_0.4.4-jdk7-linux-x86_64.deb|bazel|0.4.4|x86_64|linux|deb|standalone|True|{jdk7}
bazel_0.4.4-linux-x86_64.deb|bazel|0.4.4|x86_64|linux|deb|standalone|True|{}
bazel-0.4.4-windows-x86_64.exe|bazel|0.4.4|x86_64|windows|exe|standalone|True|{}
bazel-0.4.4-windows-x86_64.zip|bazel|0.4.4|x86_64|windows|zip|standalone|True|{}
bazel-0.4.5-dist.zip|bazel|0.4.5||any|zip|standalone|True|{}
bazel-0.4.5-installer-darwin-x86_64.sh|bazel|0.4.5|x86_64|macos|sh|installer|True|{}
bazel-0.4.5-installer-linux-x86_64.sh|bazel|0.4.5|x86_64|linux|sh|installer|True|{}
bazel-0.4.5-jdk7-installer-darwin-x86_64.sh|bazel|0.4.5|x86_64|macos|sh|installer|True|{jdk7}
bazel-0.4.5-jdk7-installer-linux-x86_64.sh|bazel|0.4.5|x86_64|linux|sh|installer|True|{jdk7}
bazel_0.4.5-jdk7-linux-x86_64.deb|bazel|0.4.5|x86_64|linux|deb|standalone|True|{jdk7}
bazel_0.4.5-linux-x86_64.deb|bazel|0.4.5|x86_64|linux|deb|standalone|True|{}
bazel-0.4.5-windows-x86_64.exe|bazel|0.4.5|x86_64|windows|exe|standalone|True|{}
bazel-0.4.5-windows-x86_64.zip|bazel|0.4.5|x86_64|windows|zip|standalone|True|{}
bazel-0.5.0-dist.zip|bazel|0.5.0||any|zip|standalone|True|{}
bazel-0.5.0-installer-darwin-x86_64.sh|bazel|0.5.0|x86_64|macos|sh|installer|True|{}
bazel-0.5.0-installer-linux-x86_64.sh|bazel|0.5.0|x86_64|linux|sh|installer|True|{}
bazel-0.5.0-jdk7-installer-darwin-x86_64.sh|bazel|0.5.0|x86_64|macos|sh|installer|True|{jdk7}
bazel-0.5.0-jdk7-installer-linux-x86_64.sh|bazel|0.5.0|x86_64|linux|sh|installer|True|{jdk7}
bazel_0.5.0-jdk7-linux-x86_64.deb|bazel|0.5.0|x86_64|linux|deb|standalone|True|{jdk7}
bazel_0.5.0-linux-x86_64.deb|bazel|0.5.0|x86_64|linux|deb|standalone|True|{}
bazel-0.5.0-windows-x86_64.exe|bazel|0.5.0|x86_64|windows|exe|standalone|True|{}
bazel-0.5.0-windows-x86_64.zip|bazel|0.5.0|x86_64|windows|zip|standalone|True|{}
bazel-0.5.0-without-jdk-installer-darwin-x86_64.sh|bazel|0.5.0|x86_64|macos|sh|installer|True|{}
bazel-0.5.0-without-jdk-installer-linux-x86_64.sh|bazel|0.5.0|x86_64|linux|sh|installer|True|{}
bazel-0.5.0-without-jdk-windows-x86_64.exe|bazel|0.5.0|x86_64|windows|exe|standalone|True|{}
bazel-0.5.0-without-jdk-windows-x86_64.zip|bazel|0.5.0|x86_64|windows|zip|standalone|True|{}
bazel-0.5.1-dist.zip|bazel|0.5.1||any|zip|standalone|True|{}
bazel-0.5.1-installer-darwin-x86_64.sh|bazel|0.5.1|x86_64|macos|sh|installer|True|{}
bazel-0.5.1-installer-linux-x86_64.sh|bazel|0.5.1|x86_64|linux|sh|installer|True|{}
bazel-0.5.1-jdk7-installer-darwin-x86_64.sh|bazel|0.5.1|x86_64|macos|sh|installer|True|{jdk7}
bazel-0.5.1-jdk7-installer-linux-x86_64.sh|bazel|0.5.1|x86_64|linux|sh|installer|True|{jdk7}
bazel_0.5.1-jdk7-linux-x86_64.deb|bazel|0.5.1|x86_64|linux|deb|standalone|True|{jdk7}
bazel_0.5.1-linux-x86_64.deb|bazel|0.5.1|x86_64|linux|deb|standalone|True|{}
bazel-0.5.1-windows-x86_64.exe|bazel|0.5.1|x86_64|windows|exe|standalone|True|{}
bazel-0.5.1-windows-x86_64.zip|bazel|0.5.1|x86_64|windows|zip|standalone|True|{}
bazel-0.5.1-without-jdk-installer-darwin-x86_64.sh|bazel|0.5.1|x86_64|macos|sh|installer|True|{}
bazel-0.5.1-without-jdk-installer-linux-x86_64.sh|bazel|0.5.1|x86_64|linux|sh|installer|True|{}
bazel-0.5.1-without-jdk-windows-x86_64.exe|bazel|0.5.1|x86_64|windows|exe|standalone|True|{}
bazel-0.5.1-without-jdk-windows-x86_64.zip|bazel|0.5.1|x86_64|windows|zip|standalone|True|{}
bazel-0.5.2-dist.zip|bazel|0.5.2||any|zip|standalone|True|{}
bazel-0.5.2-installer-darwin-x86_64.sh|bazel|0.5.2|x86_64|macos|sh|installer|True|{}
bazel-0.5.2-installer-linux-x86_64.sh|bazel|0.5.2|x86_64|linux|sh|installer|True|{}
bazel-0.5.2-jdk7-installer-darwin-x86_64.sh|bazel|0.5.2|x86_64|macos|sh|installer|True|{jdk7}
bazel-0.5.2-jdk7-installer-linux-x86_64.sh|bazel|0.5.2|x86_64|linux|sh|installer|True|{jdk7}
bazel_0.5.2-jdk7-linux-x86_64.deb|bazel|0.5.2|x86_64|linux|deb|standalone|True|{jdk7}
bazel_0.5.2-linux-x86_64.deb|bazel|0.5.2|x86_64|linux|deb|standalone|True|{}
bazel-0.5.2-windows-x86_64.exe|bazel|0.5.2|x86_64|windows|exe|standalone|True|{}
bazel-0.5.2-windows-x86_64.zip|bazel|0.5.2|x86_64|windows|zip|standalone|True|{}
bazel-0.5.2-without-jdk-installer-darwin-x86_64.sh|bazel|0.5.2|x86_64|macos|sh|installer|True|{}
bazel-0.5.2-without-jdk-installer-linux-x86_64.sh|bazel|0.5.2|x86_64|linux|sh|installer|True|{}
bazel-0.5.2-without-jdk-windows-x86_64.exe|bazel|0.5.2|x86_64|windows|exe|standalone|True|{}
bazel-0.5.2-without-jdk-windows-x86_64.zip|bazel|0.5.2|x86_64|windows|zip|standalone|True|{}
bazel-0.5.3-dist.zip|bazel|0.5.3||any|zip|standalone|True|{}
bazel-0.5.3-installer-darwin-x86_64.sh|bazel|0.5.3|x86_64|macos|sh|installer|True|{}
bazel-0.5.3-installer-linux-x86_64.sh|bazel|0.5.3|x86_64|linux|sh|installer|True|{}
bazel_0.5.3-linux-x86_64.deb|bazel|0.5.3|x86_64|linux|deb|standalone|True|{}
bazel-0.5.3-windows-x86_64.exe|bazel|0.5.3|x86_64|windows|exe|standalone|True|{}
bazel-0.5.3-windows-x86_64.zip|bazel|0.5.3|x86_64|windows|zip|standalone|True|{}
bazel-0.5.3-without-jdk-installer-darwin-x86_64.sh|bazel|0.5.3|x86_64|macos|sh|installer|True|{}
bazel-0.5.3-without-jdk-installer-linux-x86_64.sh|bazel|0.5.3|x86_64|linux|sh|installer|True|{}
bazel-0.5.3-without-jdk-windows-x86_64.exe|bazel|0.5.3|x86_64|windows|exe|standalone|True|{}
bazel-0.5.3-without-jdk-windows-x86_64.zip|bazel|0.5.3|x86_64|windows|zip|standalone|True|{}
bazel-0.5.4-dist.zip|bazel|0.5.4||any|zip|standalone|True|{}
bazel-0.5.4-installer-darwin-x86_64.sh|bazel|0.5.4|x86_64|macos|sh|installer|True|{}
bazel-0.5.4-installer-linux-x86_64.sh|bazel|0.5.4|x86_64|linux|sh|installer|True|{}
bazel_0.5.4-linux-x86_64.deb|bazel|0.5.4|x86_64|linux|deb|standalone|True|{}
bazel-0.5.4-windows-x86_64.exe|bazel|0.5.4|x86_64|windows|exe|standalone|True|{}
bazel-0.5.4-windows-x86_64.zip|bazel|0.5.4|x86_64|windows|zip|standalone|True|{}
bazel-0.5.4-without-jdk-installer-darwin-x86_64.sh|bazel|0.5.4|x86_64|macos|sh|installer|True|{}
bazel-0.5.4-without-jdk-installer-linux-x86_64.sh|bazel|0.5.4|x86_64|linux|sh|installer|True|{}
bazel-0.5.4-without-jdk-windows-x86_64.exe|bazel|0.5.4|x86_64|windows|exe|standalone|True|{}
bazel-0.5.4-without-jdk-windows-x86_64.zip|bazel|0.5.4|x86_64|windows|zip|standalone|True|{}
bazel-0.6.0-dist.zip|bazel|0.6.0||any|zip|standalone|True|{}
bazel-0.6.0-installer-darwin-x86_64.sh|bazel|0.6.0|x86_64|macos|sh|installer|True|{}
bazel-0.6.0-installer-linux-x86_64.sh|bazel|0.6.0|x86_64|linux|sh|installer|True|{}
bazel_0.6.0-linux-x86_64.deb|bazel|0.6.0|x86_64|linux|deb|standalone|True|{}
bazel-0.6.0-windows-x86_64.exe|bazel|0.6.0|x86_64|windows|exe|standalone|True|{}
bazel-0.6.0-windows-x86_64.zip|bazel|0.6.0|x86_64|windows|zip|standalone|True|{}
bazel-0.6.0-without-jdk-installer-darwin-x86_64.sh|bazel|0.6.0|x86_64|macos|sh|installer|True|{}
bazel-0.6.0-without-jdk-installer-linux-x86_64.sh|bazel|0.6.0|x86_64|linux|sh|installer|True|{}
bazel-0.6.0-without-jdk-windows-x86_64.exe|bazel|0.6.0|x86_64|windows|exe|standalone|True|{}
bazel-0.6.0-without-jdk-windows-x86_64.zip|bazel|0.6.0|x86_64|windows|zip|standalone|True|{}
bazel-0.6.1-dist.zip|bazel|0.6.1||any|zip|standalone|True|{}
bazel-0.6.1-installer-darwin-x86_64.sh|bazel|0.6.1|x86_64|macos|sh|installer|True|{}
bazel-0.6.1-installer-linux-x86_64.sh|bazel|0.6.1|x86_64|linux|sh|installer|True|{}
bazel_0.6.1-linux-x86_64.deb|bazel|0.6.1|x86_64|linux|deb|standalone|True|{}
bazel-0.6.1-windows-x86_64.exe|bazel|0.6.1|x86_64|windows|exe|standalone|True|{}
bazel-0.6.1-windows-x86_64.zip|bazel|0.6.1|x86_64|windows|zip|standalone|True|{}
