apple_support.0.7.0.tar.gz|apple_support|0.7.0|src|any|tar.gz|standalone|True|{}
bazel-0.11.1-windows-x86_64.zip|bazel|0.11.1|x86_64|windows|zip|standalone|True|{}
bazel-0.11.1-without-jdk-installer-darwin-x86_64.sh|bazel|0.11.1|x86_64|macos|sh|installer|True|{}
bazel-0.11.1-without-jdk-installer-linux-x86_64.sh|bazel|0.11.1|x86_64|linux|sh|installer|True|{}
bazel-0.11.1-without-jdk-windows-x86_64.exe|bazel|0.11.1|x86_64|windows|exe|standalone|True|{}
bazel-0.11.1-without-jdk-windows-x86_64.zip|bazel|0.11.1|x86_64|windows|zip|standalone|True|{}
bazel-0.1.1-installer-darwin-x86_64.sh|bazel|0.1.1|x86_64|macos|sh|installer|True|{}
bazel-0.1.1-installer-linux-x86_64.sh|bazel|0.1.1|x86_64|linux|sh|installer|True|{}
bazel-0.1.1-jdk7-installer-darwin-x86_64.sh|bazel|0.1.1|x86_64|macos|sh|installer|True|{jdk7}
bazel-0.1.1-jdk7-installer-linux-x86_64.sh|bazel|0.1.1|x86_64|linux|sh|installer|True|{jdk7}
bazel-0.12.0-darwin-x86_64|bazel|0.12.0|x86_64|macos||standalone|True|{}
bazel-0.12.0-dist.zip|bazel|0.12.0||any|zip|standalone|True|{}
bazel-0.12.0-installer-darwin-x86_64.sh|bazel|0.12.0|x86_64|macos|sh|installer|True|{}
bazel-0.12.0-installer-linux-x86_64.sh|bazel|0.12.0|x86_64|linux|sh|installer|True|{}
bazel-0.12.0-linux-x86_64|bazel|0.12.0|x86_64|linux||standalone|True|{}
bazel_0.12.0-linux-x86_64.deb|bazel|0.12.0|x86_64|linux|deb|standalone|True|{}
bazel-0.12.0-windows-x86_64.exe|bazel|0.12.0|x86_64|windows|exe|standalone|True|{}
bazel-0.12.0-windows-x86_64.zip|bazel|0.12.0|x86_64|windows|zip|standalone|True|{}
bazel-0.12.0-without-jdk-installer-darwin-x86_64.sh|bazel|0.12.0|x86_64|macos|sh|installer|True|{}
bazel-0.12.0-without-jdk-installer-linux-x86_64.sh|bazel|0.12.0|x86_64|linux|sh|installer|True|{}
bazel-0.12.0-without-jdk-windows-x86_64.exe|bazel|0.12.0|x86_64|windows|exe|standalone|True|{}
bazel-0.12.0-without-jdk-windows-x86_64.zip|bazel|0.12.0|x86_64|windows|zip|standalone|True|{}
bazel-0.1.2-installer-darwin-x86_64.sh|bazel|0.1.2|x86_64|macos|sh|installer|True|{}
bazel-0.1.2-installer-linux-x86_64.sh|bazel|0.1.2|x86_64|linux|sh|installer|True|{}
bazel-0.1.2-jdk7-installer-darwin-x86_64.sh|bazel|0.1.2|x86_64|macos|sh|installer|True|{jdk7}
bazel-0.1.2-jdk7-installer-linux-x86_64.sh|bazel|0.1.2|x86_64|linux|sh|installer|True|{jdk7}
bazel_0.1.2-jdk7-linux-x86_64.deb|bazel|0.1.2|x86_64|linux|deb|standalone|True|{jdk7}
bazel_0.1.2-linux-x86_64.deb|bazel|0.1.2|x86_64|linux|deb|standalone|True|{}
bazel-0.13.0-darwin-x86_64|bazel|0.13.0|x86_64|macos||standalone|True|{}
bazel-0.13.0-dist.zip|bazel|0.13.0||any|zip|standalone|True|{}
bazel-0.13.0-installer-darwin-x86_64.sh|bazel|0.13.0|x86_64|macos|sh|installer|True|{}
bazel-0.13.0-installer-linux-x86_64.sh|bazel|0.13.0|x86_64|linux|sh|installer|True|{}
bazel-0.13.0-linux-x86_64|bazel|0.13.0|x86_64|linux||standalone|True|{}
bazel_0.13.0-linux-x86_64.deb|bazel|0.13.0|x86_64|linux|deb|standalone|True|{}
bazel-0.13.0-windows-x86_64.exe|bazel|0.13.0|x86_64|windows|exe|standalone|True|{}
bazel-0.13.0-windows-x86_64.zip|bazel|0.13.0|x86_64|windows|zip|standalone|True|{}
bazel-0.13.0-without-jdk-installer-darwin-x86_64.sh|bazel|0.13.0|x86_64|macos|sh|installer|True|{}
bazel-0.13.0-without-jdk-installer-linux-x86_64.sh|bazel|0.13.0|x86_64|linux|sh|installer|True|{}
bazel-0.13.0-without-jdk-windows-x86_64.exe|bazel|0.13.0|x86_64|windows|exe|standalone|True|{}
bazel-0.13.0-without-jdk-windows-x86_64.zip|bazel|0.13.0|x86_64|windows|zip|standalone|True|{}
bazel-0.13.1-darwin-x86_64|bazel|0.13.1|x86_64|macos||standalone|True|{}
bazel-0.13.1-dist.zip|bazel|0.13.1||any|zip|standalone|True|{}
bazel-0.13.1-installer-darwin-x86_64.sh|bazel|0.13.1|x86_64|macos|sh|installer|True|{}
bazel-0.13.1-installer-linux-x86_64.sh|bazel|0.13.1|x86_64|linux|sh|installer|True|{}
bazel-0.13.1-linux-x86_64|bazel|0.13.1|x86_64|linux||standalone|True|{}
bazel_0.13.1-linux-x86_64.deb|bazel|0.13.1|x86_64|linux|deb|standalone|True|{}
bazel-0.13.1-windows-x86_64.exe|bazel|0.13.1|x86_64|windows|exe|standalone|True|{}
bazel-0.13.1-windows-x86_64.zip|bazel|0.13.1|x86_64|windows|zip|standalone|True|{}
bazel-0.1.3-installer-darwin-x86_64.sh|bazel|0.1.3|x86_64|macos|sh|installer|True|{}
bazel-0.1.3-installer-linux-x86_64.sh|bazel|0.1.3|x86_64|linux|sh|installer|True|{}
bazel-0.1.3-jdk7-installer-darwin-x86_64.sh|bazel|0.1.3|x86_64|macos|sh|installer|True|{jdk7}
bazel-0.1.3-jdk7-installer-linux-x86_64.sh|bazel|0.1.3|x86_64|linux|sh|installer|True|{jdk7}
bazel_0.1.3-jdk7-linux-x86_64.deb|bazel|0.1.3|x86_64|linux|deb|standalone|True|{jdk7}
bazel_0.1.3-linux-x86_64.deb|bazel|0.1.3|x86_64|linux|deb|standalone|True|{}
bazel-0.14.0-darwin-x86_64|bazel|0.14.0|x86_64|macos||standalone|True|{}
bazel-0.14.0-dist.zip|bazel|0.14.0||any|zip|standalone|True|{}
